title,year,authors,journal,doi,wos_accession,abstract,source
Cultural ecosystem services in European grasslands: A systematic review of threats,2022,"Pellaton, R; Lellei-Kovács, E; Báldi, A",AMBIO,10.1007/s13280-022-01755-7,WOS:000821372500001,"The degradation of ecosystems threatens the provision of ecosystem services and limits human well-being. This systematic literature review evaluates the threats surrounding cultural ecosystem services (CES), namely recreation and landscape aesthetics in European permanent grasslands. We identified underlying causes, direct threats, consequences and suggested solutions for threat mitigation. The most common threats were land-use and management change processes, followed by social attitude, industrial developments and natural threats. However, recreational activities also created negative feedba",random_sample_395
Magnitude Filter Combined with Mass Filter: A Reliable Strategy to Improve the Reproducibility of ESI-FT-ICR-MS Analysis on the Fingerprint of Dissolved Organic Matter,2022,"Chen, M; Wei, DB; Li, LP; Wang, FP; Du, YG",ANALYTICAL CHEMISTRY,10.1021/acs.analchem.2c00879,WOS:000829793600001,"Dissolved organic matter (DOM) has been used frequently to distinguish different environmental samples based on its abundant fingerprint information. Fourier transform ion cyclotron resonance mass spectrometry (FT-ICR-MS) is the most powerful technique to analyze the complex composition of DOM. Balancing between the reproducibility of peak magnitude and peak diversity is a key factor for achieving reliable and reproducible fingerprint information of DOM with FT-ICR-MS. In this paper, a novel magnitude filter (MGF) method and a novel MS-MGF strategy were proposed to improve the data reproducibi",random_sample_395
Open Science in Developmental Science,2022,"Gennetian, LA; Frank, MC; Tamis-LeMonda, CS",ANNUAL REVIEW OF DEVELOPMENTAL PSYCHOLOGY,10.1146/annurev-devpsych-121020-030705,WOS:001321986800018,"Open science policies have proliferated in the social and behavioral sciences in recent years, including practices around sharing study designs, protocols, and data and preregistering hypotheses. Developmental research has moved more slowly than some other disciplines in adopting open science practices, in part because developmental science is often descriptive and does not always strictly adhere to a confirmatory approach. We assess the state of open science practices in developmental science and offer a broader definition of open science that includes replication, reproducibility, data reuse",random_sample_395
Can protection motivation theory predict pro-environmental behaviour of small rural tourism enterprises? An extended model including community involvement,2022,"Zhu, ZY; Wang, R; Hu, J; Jiang, ZM",ASIA PACIFIC JOURNAL OF TOURISM RESEARCH,10.1080/10941665.2022.2075777,WOS:000809654300001,"This study explained the generation and implementation of pro-environmental behaviour (PEB) of small rural tourism enterprises (SRTEs) based on protection motivation theory (PMT), and discussed the effect of the contextual variable of community involvement on PEB of SRTEs. The results showed that: (a) the vulnerability to risks, severity of risks, response efficacy, and self-efficacy have significant effects on the pro-environmental behavioural intention (PEBI) of SRTEs; (b) SRTEs' PEBI further significantly affects their PEB; and (c) community involvement can not only directly affect the PEB ",random_sample_395
Does sample source matter for theory? Testing model invariance with the influence of presumed influence model across Amazon Mechanical Turk and Qualtrics Panels,2022,"Waddell, TF; Overton, H; McKeever, R",COMPUTERS IN HUMAN BEHAVIOR,10.1016/j.chb.2022.107416,WOS:000860365900009,"Online data collection services are increasingly common for testing mass communication theory. However, how consistent are the theoretical tenets of theory when tested across different online data services? A pre-registered online survey (N = 1546) examined the influence of the presumed influence model across subjects simultaneously recruited from Amazon Mechanical Turk and Qualtrics Panels. Results revealed that model parameters were mostly consistent with the IPI theory regardless of data source. Methodological implications are discussed.",random_sample_395
A mixed methodology for evaluating use of evidence in conservation planning,2022,"Stevens, M; Norris, DR",CONSERVATION BIOLOGY,10.1111/cobi.13876,WOS:000783267400001,"Conservation practitioners widely recognize the importance of making decisions based on the best available evidence. However, the effectiveness of evidence use in conservation planning is rarely assessed, which limits opportunities to improve evidence-based practice. We devised a mixed methodology for empirically evaluating use of evidence that applies social science tools to systematically appraise what kinds of evidence are used in conservation planning, to what effect, and under what limitations. We applied our approach in a case study of the Nature Conservancy of Canada (NCC), a leading la",random_sample_395
"Evaluating the supply-demand balance of cultural ecosystem services with budget expectation in Shenzhen, China",2022,"Wu, JS; Jin, XR; Wang, H; Feng, Z",ECOLOGICAL INDICATORS,10.1016/j.ecolind.2022.109165,WOS:000856282000001,"Sufficient research on cultural ecosystem services (CESs) helps decision makers realize developmental and environmental goals in urban planning, budget allocation, and municipal service provision. The Bayesian belief network (BBN), as a semi-quantitative model, can be used to infer the supply and demand match for CESs. Taking Shenzhen as the study area, we evaluated the CES supply and demand. We used a BBN to simulate the CES supply and demand and identify the key influencing factors affecting the CES budget. CES budget expectations were created to indicate the CES supply and demand balance. T",random_sample_395
Valuing ecosystem services and disservices of blue/green infrastructure. Evidence from a choice experiment in Vietnam,2022,"Toledo-Gallegos, VM; My, NHD; Tuan, TH; Boerger, T",ECONOMIC ANALYSIS AND POLICY,10.1016/j.eap.2022.04.015,WOS:000805060400007,"This paper examines public preferences for developing sponge parks using blue/green infrastructure in Can Tho city, the biggest and fast-growing city in the Vietnamese Mekong Delta. Particularly, the paper assesses the economic value associated with the provision of a set of ecosystem services (flood control, recreational activities, biodiversity) and ecosystem disservices (pest abundance) provided by blue/green infrastructure using a discrete choice experiment. Results indicated that flood control is the most highly valued ecosystem service, followed by recreation and biodiversity. Household ",random_sample_395
The State of Interdependence with Nature Scale: Development and Initial Validation,2022,"Hanley, AW; Deringer, SA; Sneed, JC; Bettmann, JE; Gonzalez-Pons, KM",ECOPSYCHOLOGY,10.1089/eco.2021.0014,WOS:000773572200006,"The three studies reported in this article detail the development of the State of Interdependence with Nature Scale (SINS), a new self-report measure specifically designed to assess momentary fluctuations in feelings of deep connection, or ""oneness,"" with nature. Using exploratory factor analysis, Study 1 (N = 228) identified eight optimally performing items to be retained in the SINS. Using confirmatory factor analysis, Study 2 (N = 126) supported the SINS' unidimensional structure. Using bivariate correlation analysis and linear modeling, Study 3 (N = 73) found the SINS demonstrated strong p",random_sample_395
"A mixed-methods approach to analyse recreational values and implications for management of protected areas: A case study of Cairngorms National Park, UK",2022,"Dick, J; Andrews, C; Orenstein, DE; Teff-Seker, Y; Zulian, G",ECOSYSTEM SERVICES,10.1016/j.ecoser.2022.101460,WOS:000830826000001,"There is often pressure on protected area managers to enhance wild landscapes and protect biodiversity while simultaneously promoting goals such as assuring ongoing provision of ecosystem services and providing for tourist and recreational needs. In the current study, we investigate two tools that may provide different types of management-relevant knowledge on recreation ecosystem services to aid management decisions in a protected area (PA), particularly where such tradeoffs must be considered. We constructed a spatial recreational model of the whole Cairngorms National Park, Scotland (ESTIMA",random_sample_395
