title,year,doi,matched_steps
Cultural ecosystem services in European grasslands: A systematic review of threats,2022,10.1007/s13280-022-01755-7,Step_02_Theory_Grounding_and_Construct_Conceptualization
Magnitude Filter Combined with Mass Filter: A Reliable Strategy to Improve the Reproducibility of ESI-FT-ICR-MS Analysis on the Fingerprint of Dissolved Organic Matter,2022,10.1021/acs.analchem.2c00879,Step_05_Preregistration_and_Open_Science
Open Science in Developmental Science,2022,10.1146/annurev-devpsych-121020-030705,Step_04_Study_Architecture_and_Experimental_Design; Step_05_Preregistration_and_Open_Science
Can protection motivation theory predict pro-environmental behaviour of small rural tourism enterprises? An extended model including community involvement,2022,10.1080/10941665.2022.2075777,Step_02_Theory_Grounding_and_Construct_Conceptualization
Does sample source matter for theory? Testing model invariance with the influence of presumed influence model across Amazon Mechanical Turk and Qualtrics Panels,2022,10.1016/j.chb.2022.107416,Step_10_Survey_Distribution
A mixed methodology for evaluating use of evidence in conservation planning,2022,10.1111/cobi.13876,Step_01_Epistemological_Alignment_and_Method_Selection
"Evaluating the supply-demand balance of cultural ecosystem services with budget expectation in Shenzhen, China",2022,10.1016/j.ecolind.2022.109165,Step_02_Theory_Grounding_and_Construct_Conceptualization
Valuing ecosystem services and disservices of blue/green infrastructure. Evidence from a choice experiment in Vietnam,2022,10.1016/j.eap.2022.04.015,Step_04_Study_Architecture_and_Experimental_Design
The State of Interdependence with Nature Scale: Development and Initial Validation,2022,10.1089/eco.2021.0014,Step_03_Psychometric_Scales_and_Construct_Validity; Step_07_Measuring_Behavior_Beyond_Self_Report; Step_11_Data_Preparation_Analysis_and_Reporting
"A mixed-methods approach to analyse recreational values and implications for management of protected areas: A case study of Cairngorms National Park, UK",2022,10.1016/j.ecoser.2022.101460,Step_01_Epistemological_Alignment_and_Method_Selection
"Utilizing a crowdsourced phrasal lexicon to identify cultural ecosystem services in El Cajas National Park, Ecuador",2022,10.1016/j.ecoser.2022.101441,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Associations between landscape values, self-reported knowledge, and land-use: a public participation GIS assessment",2022,10.1080/26395916.2022.2052749,Step_07_Measuring_Behavior_Beyond_Self_Report
